palavra,quantidade
capitão,4
quero,4
pode,4
skywalker,3
prepare,3
asteróides,3
destruir,3
rebeldes,2
almirante,2
tão,2
quanto,2
tropas,2
última,2
nave,2
campo,2
apenas,2
millennium,2
todos,2
nunca,2
deixar,2
talvez,2
imperador,2
faça,2
força,2
ainda,2
podemos,2
venha,2
encontrou,1
alguma,1
certeza,1
defina,1
curso,1
sistema,1
general,1
preparem,1
alertados,1
ozzel,1
saiu,1
velocidade,1
luz,1
perto,1
desajeitado,1
ataque,1
falhou,1
comigo,1
desembarcar,1
além,1
escudo,1
energia,1
desdobre,1
frota,1
nada,1
saia,1
desse,1
comando,1
todas,1
naves,1
disponíveis,1
varrem,1
serem,1
mova,1
possamos,1
enviar,1
transmissão,1
pudesse,1
tornaria,1
poderoso,1
juntará,1
haverá,1
recompensa,1
substancial,1
encontrar,1
livre,1
usar,1
quaisquer,1
métodos,1
desculpas,1
alertar,1
calcular,1
destinos,1
possíveis,1
longo,1
trajetória,1
falhe,1
ficaríamos,1
honrados,1
juntasse,1
levar,1
solo,1
jabba,1
the,1
hut,1
sofrerá,1
danos,1
devem,1
pense,1
sendo,1
tratado,1
lamentável,1
guarnição,1
instalação,1
deve,1
adequada,1
congelar,1
jornada,1
monitore,1
permita,1
prêmio,1
vamos,1
império,1
compensará,1
caçador,1
reinicialize,1
câmara,1
encontre,1
caminho,1
leve,1
princesa,1
wookiee,1
alterando,1
altere,1
jovem,1
aprendeu,1
destino,1
sabia,1
forte,1
ensinou,1
controlou,1
agora,1
libere,1
ódio,1
inútil,1
deixe,1
percebeu,1
começou,1
descobrir,1
mim,1
completarei,1
combinada,1
acabar,1
conflito,1
destrutivo,1
trazer,1
ordem,1
conhecesse,1
poder,1
lado,1
contou,1
aconteceu,1
procure,1
sabe,1
previu,1
governar,1
galáxia,1
pai,1
único,1
traga,1
ônibus,1
homens,1
desativaram,1
hyperdrive,1
grupo,1
embarque,1
armas,1
