palavra,quantidade
posso,6
mestre,6
onde,6
vai,5
sabe,5
artoo,5
pode,5
apenas,3
realmente,3
princesa,3
tentando,3
ninguém,3
luke,3
deve,3
ficar,3
diz,3
bem,3
capitão,3
computador,3
quarto,2
deveria,2
todas,2
ainda,2
vamos,2
acho,2
nada,2
ver,2
chances,2
bastante,2
bom,2
totalmente,2
espere,2
permite,2
velocidade,2
campo,2
fazer,2
acoplamento,2
aqui,2
vá,2
traseiro,2
direto,2
sobreviver,2
parece,2
sinto,2
confie,2
hiperdrive,2
tente,1
pedi,1
ligar,1
aquecedor,1
comentei,1
congelando,1
secar,1
roupas,1
ter,1
palavrinha,1
leia,1
perguntando,1
sobre,1
perguntar,1
homem,1
encontrar,1
cá,1
perigo,1
vir,1
possamos,1
articulações,1
diga,1
coisas,1
claro,1
senhora,1
sido,1
incapaz,1
captar,1
qualquer,1
embora,1
admita,1
próprio,1
alcance,1
fraco,1
demais,1
abandonar,1
sobrevivência,1
setecentas,1
setenta,1
conhecido,1
cometer,1
tempos,1
preocupe,1
certeza,1
ficará,1
funcional,1
expressa,1
alívio,1
fluente,1
seis,1
milhões,1
formas,1
sinal,1
usado,1
código,1
cuida,1
cuide,1
si,1
vossa,1
devemos,1
pegar,1
último,1
única,1
aonde,1
sugerir,1
notei,1
anteriormente,1
motivador,1
hiperpropulsor,1
impossível,1
ir,1
possibilidade,1
navegar,1
sucesso,1
asteróides,1
aproximadamente,1
três,1
setecentos,1
vinte,1
quase,1
medo,1
inclui,1
desligar,1
possível,1
asteróide,1
vezes,1
simplesmente,1
entendo,1
comportamento,1
trabalho,1
forma,1
preciso,1
nave,1
aprendeu,1
dialeto,1
energia,1
eixo,1
negativo,1
temo,1
isolei,1
fluxo,1
potência,1
aí,1
melhor,1
ficasse,1
guardasse,1
coisa,1
graças,1
deus,1
saindo,1
acabamos,1
perder,1
escudo,1
defletor,1
golpe,1
ataque,1
destróier,1
estelar,1
desta,1
vez,1
longe,1
vou,1
vejo,1
rendição,1
alternativa,1
perfeitamente,1
aceitável,1
circunstâncias,1
império,1
gentil,1
deixaram,1
relações,1
instalações,1
rosto,1
soa,1
unidade,1
queria,1
uh,1
tire,1
quero,1
intrometer,1
devo,1
contar,1
gosto,1
algo,1
certo,1
porque,1
agora,1
bola,1
pêlos,1
estúpido,1
anexado,1
estaria,1
nesta,1
posição,1
responsabilidade,1
então,1
faça,1
pronto,1
consigo,1
envolveram,1
protegido,1
processo,1
sabia,1
tempo,1
tudo,1
salvar,1
han,1
caçador,1
menos,1
veja,1
aconteceu,1
atrás,1
dizer,1
substituir,1
sistema,1
saber,1
distinguir,1
tomada,1
terminal,1
interessados,1
millennium,1
abra,1
nunca,1
duvidei,1
pensei,1
besta,1
peluda,1
pareço,1
bruta,1
entramos,1
central,1
cidade,1
confiar,1
preste,1
atenção,1
volte,1
terminou,1
comigo,1
consertar,1
chewbacca,1
