palavra,quantidade
única,8
ainda,4
vai,3
pai,3
deveria,2
poderia,2
senado,2
imperial,2
missão,2
agora,2
alderaan,2
informações,2
sistemas,2
desta,2
unidade,2
deve,2
ter,2
onde,2
parece,2
alguém,2
alguma,2
certamente,2
lá,2
vêm,2
explicação,2
facilidade,2
lorde,1
tão,1
ficar,1
parado,1
souberem,1
atacou,1
membro,1
diplomática,1
general,1
anos,1
atrás,1
serviu,1
guerras,1
implora,1
ajude,1
luta,1
contra,1
lamento,1
poder,1
apresentar,1
pedido,1
pessoalmente,1
nave,1
caiu,1
sob,1
ataque,1
temo,1
coloquei,1
vitais,1
sobrevivência,1
rebelião,1
memória,1
saberá,1
recuperar,1
entregar,1
droide,1
segurança,1
hora,1
governador,1
esperado,1
segurando,1
coleira,1
reconheci,1
mau,1
cheiro,1
trazido,1
assumir,1
responsabilidade,1
quanto,1
apertar,1
estelares,1
escaparão,1
pouco,1
curto,1
ben,1
kenobi,1
conseguiu,1
cortar,1
rota,1
entrou,1
plano,1
salvar,1
guarde,1
matar,1
todos,1
peguem,1
fique,1
aí,1
tente,1
posso,1
vão,1
faz,1
maravilha,1
tirar,1
grande,1
tapete,1
ambulante,1
veio,1
naquela,1
corajoso,1
encontre,1
controle,1
estende,1
dar,1
encontramos,1
alguns,1
velhos,1
vamos,1
tarde,1
havia,1
nada,1
pudesse,1
perdemos,1
controles,1
dois,1
além,1
deixaram,1
menos,1
informação,1
artoo,1
leituras,1
técnicas,1
daquela,1
espero,1
dados,1
fraqueza,1
possa,1
precisa,1
preocupar,1
dinheiro,1
tudo,1
então,1
amigo,1
pergunto,1
realmente,1
importa,1
tempo,1
batalha,1
localizou,1
usar,1
planejar,1
seguir,1
próprio,1
ninguém,1
pode,1
escolher,1
sabia,1
