palavra,quantidade
mestre,13
jabba,6
ohhh,5
nunca,3
lugar,3
certeza,3
parece,3
vamos,3
artoo,3
vão,3
mensagem,3
luke,3
diz,3
posso,3
general,3
princesa,3
sobre,2
the,2
melhor,2
deus,2
apenas,2
sinto,2
receio,2
tão,2
tipo,2
bom,2
poderia,2
ter,2
algo,2
fluente,2
seis,2
milhões,2
formas,2
deve,2
grande,2
sarlacc,2
algum,2
agora,2
disse,2
boa,2
bastante,2
claro,1
deveria,1
lando,1
calrissian,1
pobre,1
chewbacca,1
voltaram,1
deste,1
tanta,1
contasse,1
metade,1
coisas,1
ouvi,1
provavelmente,1
entraria,1
ninguém,1
voltar,1
contar,1
dê,1
detoowha,1
bo,1
veja,1
três,1
piowha,1
estranho,1
mischka,1
du,1
acho,1
deixar,1
espere,1
entregue,1
tire,1
oh,1
wauaga,1
trazemos,1
instruções,1
dar,1
próprio,1
teimoso,1
mau,1
pressentimento,1
pode,1
jogando,1
capitão,1
ainda,1
congelado,1
acontecido,1
expressou,1
qualquer,1
infelicidade,1
ohh,1
threepio,1
comunicação,1
ilustre,1
dá,1
grado,1
pagará,1
recompensa,1
vinte,1
cinco,1
poderoso,1
pergunta,1
pagar,1
cinquenta,1
porque,1
segurando,1
detonador,1
oferece,1
soma,1
trinta,1
sugiro,1
suporto,1
veio,1
alta,1
decretou,1
exterminado,1
levado,1
mar,1
dunas,1
lançado,1
poço,1
carkoon,1
local,1
nidificação,1
barriga,1
encontrará,1
nova,1
definição,1
dor,1
pois,1
digerido,1
lentamente,1
longo,1
mil,1
fazendo,1
ver,1
servindo,1
executar,1
tomarmos,1
gostaria,1
vítimas,1
excelência,1
espera,1
morram,1
desejar,1
implorar,1
ouvirá,1
onde,1
dificilmente,1
palavra,1
aqui,1
perigoso,1
alguém,1
sabemos,1
bonito,1
temo,1
sensores,1
encontrem,1
vestígios,1
dro,1
usando,1
dialeto,1
acredito,1
pensam,1
peço,1
contra,1
programação,1
personificar,1
prato,1
principal,1
banquete,1
vossa,1
alteza,1
acreditaram,1
elp,1
faça,1
alguma,1
graças,1
soube,1
chegando,1
parte,1
batedores,1
mostrar,1
caminho,1
rápido,1
gerador,1
entrada,1
secreta,1
outro,1
lado,1
companheiro,1
peludo,1
ido,1
feito,1
decidi,1
ficar,1
wa,1
fique,1
procurando,1
indo,1
hora,1
