palavra,quantidade
planos,5
navio,3
desta,3
agora,3
envie,3
onde,2
transmissões,2
encontrar,2
nave,2
espiões,2
quero,2
base,2
algum,2
pode,2
sinto,2
presença,2
força,2
fim,2
fique,2
formação,2
destrua,1
brinque,1
nenhuma,1
missão,1
misericórdia,1
passou,1
diretamente,1
sistema,1
várias,1
enviadas,1
saber,1
aconteceu,1
enviaram,1
faz,1
parte,1
aliança,1
rastreei,1
rebeldes,1
único,1
link,1
secreta,1
deixe,1
sinal,1
socorro,1
informe,1
senado,1
todos,1
bordo,1
deve,1
ter,1
escondido,1
cápsula,1
destacamento,1
cuide,1
disso,1
haverá,1
ninguém,1
parar,1
refere,1
breve,1
estarão,1
volta,1
orgulhe,1
desse,1
terror,1
tecnológico,1
capacidade,1
destruir,1
planeta,1
insignificante,1
perto,1
poder,1
acho,1
falta,1
fé,1
vamos,1
discutir,1
localização,1
rebelde,1
resistência,1
sonda,1
mental,1
levará,1
tempo,1
possamos,1
extrair,1
qualquer,1
informação,1
quer,1
iniciar,1
ignição,1
disse,1
nunca,1
trairia,1
conscientemente,1
devem,1
tentando,1
devolver,1
roubados,1
ainda,1
alguma,1
utilidade,1
encontrou,1
equipe,1
varredura,1
todas,1
partes,1
tremor,1
última,1
vez,1
senti,1
antigo,1
subestime,1
escape,1
devo,1
esperando,1
encontramos,1
círculo,1
apenas,1
poderes,1
acabaram,1
saltar,1
dia,1
lembrado,1
viu,1
kenobi,1
logo,1
verá,1
leve,1
tripulações,1
vários,1
lutadores,1
separaram,1
grupo,1
venha,1
vou,1
forte,1
