palavra,quantidade
vai,12
vou,11
pode,11
aqui,10
acho,9
tudo,9
onde,9
tio,8
ter,7
fazer,7
parece,7
algo,7
ben,7
vamos,7
tão,6
disse,6
bem,5
lá,5
muita,5
povo,5
posso,5
unidade,5
sabe,5
quer,5
então,4
areia,4
poderia,4
estarei,4
nunca,4
coisa,4
velho,4
pequeno,4
espere,4
quero,4
droide,4
ver,4
nada,4
consigo,4
venha,3
sabia,3
academia,3
quase,3
perto,3
owen,3
sido,3
desde,3
mim,3
ficar,3
melhor,3
alguns,3
sair,3
possa,3
alguma,3
aí,3
veja,3
pertence,3
vão,3
sobre,3
vejo,3
dois,3
indo,3
ir,3
caminho,3
achei,3
piloto,3
feche,3
todos,3
trituradores,3
lixo,3
nível,3
peguei,3
recebeu,2
muitos,2
pensei,2
agora,2
consegue,2
sempre,2
lugar,2
precisa,2
apenas,2
gostaria,2
estelar,2
pegar,2
biggs,2
planeta,2
bom,2
dizer,2
chamado,2
mora,2
pergunto,2
mensagem,2
tia,2
diz,2
parente,2
novos,2
droides,2
outra,2
ano,2
esperar,2
direção,2
voltar,2
antes,2
realmente,2
dar,2
vi,2
pai,2
lutou,2
parte,2
pronto,2
ouvi,2
grande,2
volta,2
três,2
passamos,2
acha,2
encontrar,2
qualquer,2
espera,2
deve,2
bloco,2
queria,2
recompensa,2
acima,2
chegando,2
dêem,1
forma,1
mudou,1
voltou,1
batalha,1
disparos,1
calma,1
cortei,1
desliguei,1
entrei,1
rastro,1
fritar,1
skyhopper,1
deixou,1
castigo,1
resto,1
deveria,1
estado,1
olha,1
dessas,1
naves,1
começando,1
parecer,1
ficou,1
mole,1
coisas,1
têm,1
mesmas,1
ouça,1
mal,1
tentando,1
preso,1
cancelar,1
havido,1
agitação,1
invadiram,1
arredores,1
vaporizadores,1
suficientes,1
valer,1
acontecer,1
império,1
incomodar,1
tempo,1
próxima,1
disso,1
convocado,1
frota,1
amigo,1
entrando,1
toshi,1
station,1
conversores,1
motivador,1
tire,1
menos,1
alterar,1
acelerar,1
colheita,1
teletransportar,1
desta,1
centro,1
brilhante,1
chamar,1
monte,1
pontuação,1
carbono,1
rapazes,1
viram,1
rebelião,1
contra,1
muitas,1
cruzador,1
nessa,1
conheço,1
ninguém,1
além,1
mar,1
meio,1
eremita,1
reproduzir,1
fugir,1
tirar,1
reproduza,1
compramos,1
encontrei,1
gravação,1
enquanto,1
limpando,1
alguém,1
pudesse,1
referindo,1
vier,1
conhecia,1
funcionar,1
pensando,1
acordo,1
permanência,1
funcionarem,1
transmitir,1
inscrição,1
dróides,1
passado,1
tank,1
terminar,1
limpar,1
fazendo,1
escondido,1
pude,1
perigoso,1
causar,1
kenobi,1
nesta,1
algum,1
chegado,1
devemos,1
perdido,1
aceitar,1
provavelmente,1
desativaria,1
morto,1
frente,1
pisou,1
aonde,1
pensa,1
ficando,1
espero,1
possamos,1
tentar,1
errado,1
pessoa,1
banthas,1
feliz,1
procurando,1
antigo,1
tanta,1
devoção,1
afirma,1
propriedade,1
daqui,1
tipo,1
conversa,1
navegador,1
cargueiro,1
guerras,1
vá,1
trabalho,1
goste,1
odeio,1
longo,1
explicar,1
levar,1
transporte,1
mos,1
eisley,1
fez,1
faixas,1
falar,1
batendo,1
mesmos,1
jawas,1
venderam,1
artoo,1
tropas,1
imperiais,1
querem,1
matar,1
rastrearam,1
robôs,1
podem,1
descoberto,1
levaria,1
aprender,1
caminhos,1
força,1
tornar,1
jedi,1
cerca,1
quatro,1
entender,1
levará,1
queremos,1
sinto,1
cuidado,1
dez,1
poderíamos,1
comprar,1
próprio,1
navio,1
apostar,1
ruim,1
sentar,1
ritmo,1
controla,1
acredita,1
escudo,1
senti,1
podia,1
controle,1
talvez,1
saibam,1
certeza,1
saindo,1
feito,1
comboio,1
olhe,1
pequena,1
mau,1
pressentimento,1
ainda,1
movendo,1
sorte,1
uivo,1
explodindo,1
admirar,1
inteira,1
saiba,1
nenhuma,1
minutos,1
atrás,1
riqueza,1
dê,1
colocar,1
coloca,1
tranque,1
neste,1
transferência,1
prisioneiro,1
luke,1
existem,1
outras,1
maneiras,1
selado,1
vivo,1
passa,1
viu,1
arma,1
simplesmente,1
soltou,1
paredes,1
abra,1
escotilha,1
manutenção,1
pressão,1
fará,1
pegamos,1
segurar,1
acabei,1
estragar,1
segure,1
nave,1
acreditar,1
rápido,1
costumava,1
caçar,1
ratos,1
maiores,1
dá,1
olhada,1
prestes,1
poderiam,1
usar,1
virando,1
costas,1
nisso,1
mudaria,1
algumas,1
histórias,1
dia,1
dróide,1
cinco,1
vermelho,1
red,1
fiquei,1
pouco,1
mira,1
cale,1
nenhum,1
sinal,1
ponto,1
líder,1
vire,1
cobrimos,1
igual,1
canyon,1
aumente,1
velocidade,1
preocupa,1
preocupo,1
estabilizador,1
solto,1
tente,1
aumentar,1
perdi,1
